id,type,x,y,z,slope,outgoing,drain,drainCoupledID,drainType,drainLength,drainWidth,n_Manning,yFull,area,width
59,SEWER,350,0,0.425,0.0,27,1,44,P-50x100,0.818,0.415,0.01,0.5,0,0
60,SEWER,0,40,-0.39,0.0,18,0,-1,P-50x100,0.818,0.415,0.01,0.5,0,0
61,SEWER,0,120,-0.27,0.0,19,0,-1,P-50x100,0.818,0.415,0.01,0.5,0,0
62,SEWER,100,40,-0.14,0.0,21,0,-1,P-50x100,0.818,0.415,0.01,0.5,0,0
63,SEWER,100,120,-0.02,0.0,22,0,-1,P-50x100,0.818,0.415,0.01,0.5,0,0
64,SEWER,200,40,0.11,0.0,24,0,-1,P-50x100,0.818,0.415,0.01,0.5,0,0
65,SEWER,200,120,0.23,0.0,25,0,-1,P-50x100,0.818,0.415,0.01,0.5,0,0
66,SEWER,300,40,0.36,0.0,27,0,-1,P-50x100,0.818,0.415,0.01,0.5,0,0
67,SEWER,300,120,0.48,0.0,28,0,-1,P-50x100,0.818,0.415,0.01,0.5,0,0
68,SEWER,400,40,0.61,0.0,30,0,-1,P-50x100,0.818,0.415,0.01,0.5,0,0
69,SEWER,400,120,0.73,0.0,31,0,-1,P-50x100,0.818,0.415,0.01,0.5,0,0
